fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,player,pos,tm
282.09999999999997,298.8,0.48510000000000003,0.3,3.0,0.05,321.6,589.6,0.43600000000000005,0.324,137.89999999999998,200.0,106.4,268.8,375.20000000000005,58.400000000000006,32.4,30.400000000000002,98.4,108.0,702.8,2023,Bam Adebayo,C,MIA
99.2,175.20000000000002,0.33959999999999996,0.0,0.65,0.0,74.39999999999999,152.6,0.2845,0.283,20.0,42.0,14.4,112.75000000000001,132.55,189.60000000000002,42.400000000000006,10.5,61.599999999999994,82.55,204.75,2023,Ben Simmons,PG,BRK
116.0,340.0,0.2556,49.4,152.75,0.2584,85.60000000000001,178.0,0.26455,0.241,137.0,183.15,26.1,80.0,109.0,29.6,21.7,2.75,67.19999999999999,70.2,651.0,2023,Bennedict Mathurin,SF,IND
51.8,53.2,0.5004000000000001,0.0,0.0,0.0,59.2,106.4,0.4448000000000001,0.3336,11.2,39.2,39.2,101.60000000000001,140.8,15.600000000000001,7.8,45.6,31.200000000000003,65.60000000000001,114.8,2023,Bismack Biyombo,C,PHO
21.0,24.400000000000002,0.4428,2.6999999999999997,8.1,0.1665,16.8,27.200000000000003,0.4944,0.33959999999999996,10.5,16.8,12.8,40.0,52.800000000000004,8.8,3.5999999999999996,2.4000000000000004,4.800000000000001,28.0,58.8,2023,Blake Griffin,C,BOS
5.5,16.099999999999998,0.2868,2.25,5.25,0.3432,3.2,8.0,0.25,0.2715,2.0,4.4,0.8,3.0,4.0,3.5,0.7,0.5,5.6000000000000005,7.800000000000001,20.299999999999997,2023,Blake Wesley,SG,SAS
11.899999999999999,10.0,0.6120000000000001,0.0,0.3,0.0,13.600000000000001,19.200000000000003,0.5664,0.40800000000000003,7.699999999999999,11.200000000000001,6.4,13.600000000000001,20.0,1.6,0.6,0.8,3.2,1.6,31.499999999999996,2023,Boban Marjanović,C,HOU
168.6,281.5,0.37424999999999997,29.0,85.0,0.22165,133.79999999999998,235.79999999999998,0.36855,0.2755,29.0,42.0,72.0,229.45000000000002,307.45,34.0,13.2,7.15,44.25,56.699999999999996,474.59999999999997,2023,Bobby Portis,PF,MIL
74.5,244.29999999999998,0.2562,54.75,149.25,0.2936,30.400000000000002,75.0,0.2535,0.266,15.0,21.450000000000003,3.6,39.5,44.0,40.0,15.399999999999999,3.5,25.6,26.650000000000002,280.7,2023,Bogdan Bogdanović,SG,ATL
211.2,361.5,0.36524999999999996,60.5,145.5,0.2704,138.6,259.2,0.34775000000000006,0.2855,111.5,151.79999999999998,16.8,98.8,117.0,52.0,18.0,3.25,82.5,60.9,733.5999999999999,2023,Bojan Bogdanović,PF,DET
125.39999999999999,181.0,0.43274999999999997,13.0,37.5,0.22555,109.8,172.2,0.4147,0.3065,31.5,51.0,34.199999999999996,159.9,196.95000000000002,16.400000000000002,13.2,43.550000000000004,64.5,43.4,354.9,2023,Bol Bol,PF,ORL
138.4,347.20000000000005,0.2394,59.15,156.65,0.3024,49.199999999999996,135.1,0.2125,0.2515,56.800000000000004,61.5,4.0,41.800000000000004,47.300000000000004,100.0,22.400000000000002,6.5,46.9,42.9,381.0,2023,Bones Hyland,PG,DEN
124.0,338.79999999999995,0.3072,34.5,95.25,0.2896,80.80000000000001,178.5,0.283,0.28,59.0,76.45,9.600000000000001,40.5,52.5,78.0,17.5,9.5,64.0,34.45,461.99999999999994,2023,Bradley Beal,SG,WAS
21.0,75.6,0.2334,8.25,21.0,0.3144,12.4,40.0,0.194,0.22,13.0,18.700000000000003,2.8000000000000003,10.0,13.5,9.5,5.6,0.0,8.8,12.35,84.69999999999999,2023,Brandon Boston Jr.,SG,LAC
112.2,140.0,0.501,0.5,3.0,0.10855000000000001,111.6,164.4,0.44135,0.335,43.5,72.0,40.199999999999996,113.10000000000001,156.65,20.8,17.4,20.8,36.75,77.0,323.4,2023,Brandon Clarke,PF,MEM
50.400000000000006,144.0,0.2628,19.5,48.75,0.32000000000000006,38.400000000000006,85.2,0.24805000000000002,0.245,40.5,50.6,3.6,41.5,45.5,35.2,11.2,6.050000000000001,39.199999999999996,26.650000000000002,254.1,2023,Brandon Ingram,SF,NOP
0.4,0.5,0.6,0.0,0.0,0.0,0.4,0.4,0.55,0.5,1.0,1.1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.8,2023,Braxton Key,SF,DET
191.79999999999998,220.4,0.44730000000000003,28.2,75.0,0.188,144.0,240.8,0.4784,0.34979999999999994,53.199999999999996,76.80000000000001,76.0,177.60000000000002,253.60000000000002,25.200000000000003,15.0,100.80000000000001,56.800000000000004,100.80000000000001,502.59999999999997,2023,Brook Lopez,C,MIL
110.0,314.29999999999995,0.294,50.25,127.5,0.31520000000000004,61.2,139.5,0.274,0.2825,24.5,37.400000000000006,15.200000000000001,83.5,102.5,89.5,37.099999999999994,17.5,67.2,78.0,389.2,2023,Bruce Brown,SG,DEN
27.299999999999997,29.200000000000003,0.4806,0.0,0.3,0.0,31.200000000000003,57.6,0.43360000000000004,0.3204,15.399999999999999,27.200000000000003,29.6,44.800000000000004,74.4,10.0,3.5999999999999996,17.6,12.0,44.800000000000004,70.0,2023,Bruno Fernando,C,HOU
13.5,51.8,0.219,6.75,19.5,0.2768,7.2,24.0,0.1875,0.213,8.5,11.0,3.2,14.0,18.0,10.5,2.8,2.0,7.2,11.05,56.0,2023,Bryce McGowens,SG,CHO
