tm,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry
HOU,100.40526315789474,224.75789473684208,0.31288421052631576,36.82105263157895,105.28157894736842,0.22982105263157895,63.49473684210527,125.77894736842106,0.3250078947368421,0.2768894736842105,45.06842105263158,69.72631578947369,24.644736842105264,88.66052631578947,115.31842105263159,55.352631578947374,21.49473684210526,13.128947368421054,51.70789473684211,62.38157894736842,334.8736842105263,534.0
IND,72.35,164.35,0.30530357142857145,22.599999999999998,65.43392857142858,0.1981357142857143,46.07142857142857,92.82857142857142,0.3105107142857143,0.26154285714285713,29.125,40.19464285714286,17.57857142857143,55.63035714285714,75.3125,44.800000000000004,14.710714285714285,10.575000000000001,29.55535714285714,40.61607142857143,232.91428571428568,1038.0
LAC,81.9,182.29130434782607,0.30905217391304346,28.89782608695652,77.52173913043478,0.25306739130434786,55.30434782608695,112.75652173913043,0.2907826086956522,0.2649913043478261,31.23478260869565,44.56956521739131,20.791304347826088,77.95217391304348,99.92608695652174,41.369565217391305,17.504347826086956,12.021739130434783,35.61304347826087,46.80434782608695,271.7260869565217,808.0
LAL,84.49600000000001,177.1,0.294294,24.901999999999997,71.28399999999999,0.19549400000000003,57.88,113.40799999999999,0.29677600000000004,0.252424,33.216,50.166000000000004,18.538,70.176,90.54800000000002,44.292,16.852,11.182,34.322,45.49,260.674,734.0
MEM,93.50434782608696,207.9608695652174,0.27634565217391305,27.002173913043475,75.06739130434782,0.17322826086956522,63.12173913043478,131.38260869565218,0.2839043478260869,0.2394,36.09130434782609,53.32608695652174,30.393478260869564,75.69347826086957,108.6717391304348,51.77391304347827,23.47391304347826,14.671739130434782,33.51086956521739,48.47173913043478,293.3,788.0
MIA,84.50909090909092,186.38181818181818,0.3109363636363636,33.87954545454546,89.11818181818182,0.24394545454545458,55.25454545454546,108.7590909090909,0.28556136363636364,0.2741636363636364,38.20909090909091,51.85454545454545,22.44090909090909,79.24772727272727,103.1909090909091,52.53181818181818,19.013636363636362,7.818181818181818,38.55227272727273,53.17727272727273,290.4022727272727,786.0
MIL,69.93448275862069,143.69655172413792,0.26475,23.846551724137928,64.91034482758621,0.21529310344827587,45.13793103448276,86.42068965517241,0.2590724137931035,0.23696896551724136,28.56896551724138,40.806896551724144,16.853448275862068,63.29827586206897,81.71896551724137,37.09655172413794,15.017241379310345,7.151724137931034,26.413793103448278,35.58965517241379,231.74137931034483,1226.0
MIN,119.31666666666666,253.57777777777775,0.30965,41.22777777777778,115.72777777777777,0.21485,74.0,145.80555555555554,0.3123722222222222,0.2652555555555556,51.91111111111111,72.06944444444444,31.116666666666667,95.62500000000001,129.45277777777778,70.07777777777778,27.288888888888888,16.55,47.769444444444446,69.79166666666667,375.125,572.0
NOP,88.57272727272728,192.11818181818182,0.2864318181818182,25.238636363636363,76.43409090909091,0.21797045454545455,63.96363636363637,126.19545454545454,0.27540909090909094,0.24839090909090908,40.85909090909091,56.91818181818182,28.204545454545453,78.32954545454545,108.35909090909091,49.68181818181818,21.236363636363635,9.879545454545454,37.570454545454545,51.66136363636363,288.35909090909087,728.0
NYK,79.34782608695652,187.4521739130435,0.26071304347826085,31.27608695652174,86.55434782608695,0.18043043478260873,49.52173913043478,102.64347826086957,0.24694565217391307,0.22724782608695654,36.92173913043478,54.15,26.25217391304348,75.77391304347827,103.66739130434784,42.800000000000004,16.991304347826087,11.993478260869566,33.09347826086957,50.665217391304346,269.48478260869564,784.0
